text,phase,sentiment
Has its moments -- and almost as many subplots .,train,3
"While Howard 's appreciation of Brown and his writing is clearly well-meaning and sincere , the movie would be impossible to sit through were it not for the supporting cast .",train,2
"If you can tolerate the redneck-versus-blueblood cliches that the film trades in , Sweet Home Alabama is diverting in the manner of Jeff Foxworthy 's stand-up act .",train,2
"Stupid , infantile , redundant , sloppy , over-the-top , and amateurish .",train,1
"There may have been a good film in `` Trouble Every Day , '' but it is not what is on the screen .",train,1
Rainy days and movies about the disintegration of families always get me down .,train,1
"Bleakly funny , its characters all the more touching for refusing to pity or memorialize themselves .",train,3
"Mild , meandering teen flick .",train,2
Too bad .,train,1
"Literary purists may not be pleased , but as far as mainstream matinee-style entertainment goes , it does a bang-up job of pleasing the crowds .",train,3
... a poignant and powerful narrative that reveals that reading writing and arithmetic are not the only subjects to learn in life .,train,3
There 's a sheer unbridled delight in the way the story unfurls ...,train,3
"Neither as scary-funny as Tremors nor demented-funny as Starship Troopers , the movie is n't tough to take as long as you 've paid a matinee price .",train,1
"The images lack contrast , are murky and are frequently too dark to be decipherable .",train,1
"The jokes are flat , and the action looks fake .",train,1
I have a confession to make : I did n't particularly like E.T. the first time I saw it as a young boy .,train,1
Spielberg has managed to marry science fiction with film noir and action flicks with philosophical inquiry .,train,3
Nicholas Nickleby celebrates the human spirit with such unrelenting Dickensian decency that it turned me ( horrors ! ),train,3
"And in a sense , that 's a liability .",train,1
"This is rote spookiness , with nary an original idea ( or role , or edit , or score , or anything , really ) in sight , and the whole of the proceedings beg the question ` Why ? '",train,1
"Like Smoke Signals , the film is also imbued with strong themes of familial ties and spirituality that are powerful and moving without stooping to base melodrama",train,3
Sad to say -- it accurately reflects the rage and alienation that fuels the self-destructiveness of many young people .,train,3
"The actors are simply too good , and the story too intriguing , for technical flaws to get in the way .",train,3
An inelegant combination of two unrelated shorts that falls far short of the director 's previous work in terms of both thematic content and narrative strength .,train,1
I tried to read the time on my watch .,train,1
"Intelligent , caustic take on a great writer and dubious human being .",train,3
A potentially good comic premise and excellent cast are terribly wasted .,train,1
"Goofy , nutty , consistently funny .",train,3
"For a good chunk of its running time , Trapped is an effective and claustrophobic thriller .",train,3
... the sum of the parts equals largely a confused mediocrity .,train,1
This thing is virtually unwatchable .,train,1
"The boys ' sparring , like the succession of blows dumped on Guei , wears down the story 's more cerebral , and likable , plot elements .",train,2
"The narrator and the other characters try to convince us that acting transfigures Esther , but she 's never seen speaking on stage ; one feels cheated , and Esther seems to remain an unchanged dullard .",train,1
"Both Garcia and Jagger turn in perfectly executed and wonderfully sympathetic characters , who are alternately touching and funny .",train,3
"This familiar rise-and-fall tale is long on glamour and short on larger moralistic consequences , though it 's told with sharp ears and eyes for the tenor of the times .",train,3
"From the dull , surreal ache of mortal awareness emerges a radiant character portrait .",train,3
"Kids do n't mind crappy movies as much as adults , provided there 's lots of cute animals and clumsy people .",train,1
"The waterlogged script plumbs uncharted depths of stupidity , incoherence and sub-sophomoric sexual banter .",train,1
"The film starts promisingly , but the ending is all too predictable and far too cliched to really work .",train,1
Offers a guilt-free trip into feel-good territory .,train,3
"Not about scares but a mood in which an ominous , pervasive , and unknown threat lurks just below the proceedings and adds an almost constant mindset of suspense .",train,3
( An ) hilarious romantic comedy .,train,3
"In the book-on-tape market , the film of `` The Kid Stays in the Picture '' would be an abridged edition",train,1
The plot is romantic comedy boilerplate from start to finish .,train,2
It 's just that it 's so not-at-all-good .,train,1
But it does n't leave you with much .,train,1
"First , for a movie that tries to be smart , it 's kinda dumb .",train,1
Any attempts at nuance given by the capable cast is drowned out by director Jon Purdy 's sledgehammer sap .,train,1
"Eastwood winces , clutches his chest and gasps for breath .",train,2
Kurys seems intimidated by both her subject matter and the period trappings of this debut venture into the heritage business .,train,1
This slight premise ... works because of the ideal casting of the masterful British actor Ian Holm as the aged Napoleon .,train,3
"The animation and backdrops are lush and inventive , yet Return to Neverland never manages to take us to that elusive , lovely place where we suspend our disbelief .",train,2
A movie so bad that it quickly enters the pantheon of wreckage that includes Battlefield Earth and Showgirls .,train,1
This rough trade Punch-and-Judy act did n't play well then and it plays worse now .,train,2
"A pleasant , if forgettable , romp of a film .",train,2
"If you 're not fans of the adventues of Steve and Terri , you should avoid this like the dreaded King Brown snake .",train,1
Collapses under its own meager weight .,train,1
"The problem is that rather than dramatizing this premise , Mr. Desplechin is content to state it .",train,2
An exhausting family drama about a porcelain empire and just as hard a flick as its subject matter .,train,2
"A lackluster , unessential sequel to the classic Disney adaptation of J.M. Barrie 's Peter Pan .",train,1
"The story is also as unoriginal as they come , already having been recycled more times than I 'd care to count .",train,1
This is a heartfelt story ... it just is n't a very involving one .,train,1
"Replacing John Carpenter 's stylish tracking shots is degraded , handheld Blair Witch video-cam footage .",train,1
"This movie is so bad , that it 's almost worth seeing because it 's so bad .",train,1
A mess .,train,1
The filmmaker 's heart is in the right place ...,train,2
"it sounds sick and twisted , but the miracle of Shainberg 's film is that it truly is romance",train,3
"What little atmosphere is generated by the shadowy lighting , macabre sets , and endless rain is offset by the sheer ugliness of everything else .",train,1
"The movie is n't horrible , but you can see mediocre cresting on the next wave .",train,2
"While it is interesting to witness the conflict from the Palestinian side , Longley 's film lacks balance ... and fails to put the struggle into meaningful historical context .",train,1
"It 's of the quality of a lesser Harrison Ford movie - Six Days , Seven Nights , maybe , or that dreadful Sabrina remake .",train,1
Charly comes off as emotionally manipulative and sadly imitative of innumerable past Love Story derisions .,train,1
Aspires for the piquant but only really achieves a sort of ridiculous sourness .,train,1
A gem of a movie .,train,3
"In the real world , an actor this uncharismatically beautiful would have a résumé loaded with credits like `` Girl in Bar # 3 . ''",train,1
Less the sensational true-crime hell-jaunt purists might like and more experimental in its storytelling ( though no less horrifying for it ) .,train,3
"As Bundy , Michael Reilly Burke ( Octopus 2 : River of Fear ) has just the right amount of charisma and menace .",train,3
It sucked .,train,1
All these developments and challenges facing Santa weigh down the plot so heavily that they drain all the film of its energy and needlessly strain credibility .,train,1
It certainly wo n't win any awards in the plot department but it sets out with no pretensions and delivers big time .,train,3
Some Body smacks of exhibitionism more than it does cathartic truth telling .,train,1
The film is hampered by its predictable plot and paper-thin supporting characters .,train,1
The only time 8 Crazy Nights comes close to hitting a comedic or satirical target is during the offbeat musical numbers .,train,2
"A mess , but it 's a sincere mess .",train,2
"The thriller side of this movie is falling flat , as the stalker does n't do much stalking , and no cop or lawyer grasps the concept of actually investigating the case .",train,1
The dirty jokes provide the funniest moments in this oddly sweet comedy about jokester highway patrolmen .,train,3
Only masochistic moviegoers need apply .,train,1
"Blade II is as estrogen-free as movies get , so you might want to leave your date behind for this one , or she 's gonna make you feel like you owe her big-time .",train,2
"No , I love it ... hell , I dunno .",train,3
"The one-liners are snappy , the situations volatile and the comic opportunities richly rewarded .",train,3
"A venturesome , beautifully realized psychological mood piece that reveals its first-time feature director 's understanding of the expressive power of the camera .",train,3
"Not bad , but not all that good .",train,2
An intense and effective film about loneliness and the chilly anonymity of the environments where so many of us spend so much of our time .,train,3
"See Scratch for the history , see Scratch for the music , see Scratch for a lesson in scratching , but , most of all , see it for the passion .",train,3
`` Interview '' loses its overall sense of mystery and becomes a TV episode rather than a documentary that you actually buy into .,train,1
"Clever and unflinching in its comic barbs , Slap Her is a small but rewarding comedy that takes aim at contemporary southern adolescence and never lets up .",train,3
"It shares the first two films ' loose-jointed structure , but laugh-out-loud bits are few and far between .",train,2
Remember when Bond had more glamour than clamor ?,train,1
"A masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview .",train,3
Reveals how important our special talents can be when put in service of of others .,train,3
"A loud , low-budget and tired formula film that arrives cloaked in the euphemism ` urban drama . '",train,1
The cast is uniformly excellent ... but the film itself is merely mildly charming .,train,2
There 's nothing interesting in Unfaithful whatsoever .,train,1
Too bad Maggio could n't come up with a better script .,train,1
Novak contemplates a heartland so overwhelmed by its lack of purpose that it seeks excitement in manufactured high drama .,train,1
The Irwins ' scenes are fascinating ; the movie as a whole is cheap junk and an insult to their death-defying efforts .,train,1
"Escaping the studio , Piccoli is warmly affecting and so is this adroitly minimalist movie .",train,3
Working from a surprisingly sensitive script co-written by Gianni Romoli ... Ozpetek avoids most of the pitfalls you 'd expect in such a potentially sudsy set-up .,train,3
These characters become wearisome .,train,1
Let 's face it -- there are n't many reasons anyone would want to see Crossroads if they 're not big fans of teen pop kitten Britney Spears .,train,2
"All the pieces fall together without much surprise , but little moments give it a boost .",train,3
